PISD	RBL1
PLA2R1	RBMS1
PLAA	RUSC2
PLCE1	CYP2C19
PLDN	SQRDL
PLEC	ENPP2
PLEC	PLEKHM2
PLEKHB2	ARHGEF4
PLXNA1	CTSD
PLXND1	TMCC1
PML	ADAMTS17	RARA
PML	CDC6	RARA
PML	RARA
POLA2	CAPN1
POLD3	COL3A1
POLDIP2	BRIP1
POM121L4P	LCMT1
POP1	MATN2
POSTN	TM9SF3
POSTN	TRIM33
POU1F1	TMPRSS15
POU2AF1	BCL6
PPFIBP1	ALK
PPL	RBKS
PPM1L	MCF2L2
PPME1	MRPL48
PPP1R12A	MGAT4C
PPP1R12A	SEPT10
PPP1R12B	SNX27
PPP1R1B	STARD3
PPP1R37	KLC3
PPP1R3G	FAM50B
PPP2R2A	CHEK2
PPP6R3	CNTN5
PRCC	TFE3
PRELID2	MAPK9
PRIM1	NACA
PRIM1	USP9X
PRKAR1A	RARA
PRKAR1A	RET
PRKDC	C8ORF22
PRKG2	PDGFRB
PRKRIP1	EFCAB4A
PRKRIP1	WDTC1
PROM1	TAPT1
PRR12	FLT3LG
PRR12	PRRG2
PSCD1	PRPSAP1
PSD3	CSGALNACT1
PSME4	PPP1CB
PTDSS1	SPRYD3
PTGFRN	NOTCH2
PTP4A2	MALAT1
PTPRF	METTL16
PTPRF	RPS6KA3
PTPRK	RSPO3
PUM1	TRERF1
PURG	UBAP1
PVRL2	LMNA
PVT1	CHD7
PVT1	MYC
PVT1	NBEA
PVT1	NDRG1
PVT1	WWOX
PYDC2	C3ORF79
R3HDM2	NFE2
RAB11A	DENND4A
RAB21	FRS2
RAB22A	MYO9B
RAB3IP	IGFBP5
RAB6A	USP43
RAB7A	LRCH3
RAB8A	EIF4G2
RABEP1	PDGFRB
RABEP1	PIGL
RABGAP1L	MLL
RAD50	PDLIM4
RAD51C	ATXN7
RAD54L2	VPRBP
RAF1	DAZL
RALGPS1	ABL1
RALGPS1	EXOC6B
RALGPS2	LAMB3
RANBP2	ABL1
RANBP2	ALK
RARA	PKIA
RASA2	ACPL2
RASSF3	TTYH2
RB1	ITM2B
RBL1	PISD
RBM14	FGF3
RBM15	MKL1
RBM47	ATP8A1
RBM6	CSF1R
RBM6	SLC38A3
RC3H2	RGS3
RCAN2	RAPGEF4
RCC1	PICALM
RCOR1	WDR70
RCSD1	ABL1
RDH10	NEDD4
RDH13	FBXO3
RECK	ALX3
REL	MAN1A2
